;Proband;Block;Task;Trial;Date_Hold;Date_Start;Date_Terminated;Duration;Num_Layers;MappingMethod;Target_Layer
51994;1;3;18;0;2021-05-10T13:00:52.420Z;2021-05-10T13:00:45.598Z;2021-05-10T13:00:52.804Z;0.384;9; widening;1
52168;1;3;18;1;2021-05-10T13:01:01.033Z;2021-05-10T13:00:54.362Z;2021-05-10T13:01:01.078Z;0.045000000000000005;9; widening;8
53105;1;3;18;3;2021-05-10T13:01:39.281Z;2021-05-10T13:01:11.340Z;2021-05-10T13:01:40.157Z;0.876;9; widening;2
53981;2;1;1;2;2021-05-11T12:28:41.282Z;2021-05-11T12:28:33.549Z;2021-05-11T12:28:42.381Z;1.099;9; direct;8
54837;2;1;2;1;2021-05-11T12:29:40.671Z;2021-05-11T12:29:34.542Z;2021-05-11T12:29:41.009Z;0.338;6; direct;5
55915;2;1;3;2;2021-05-11T12:31:03.805Z;2021-05-11T12:30:57.205Z;2021-05-11T12:31:03.892Z;0.08700000000000001;9; direct;8
56570;2;1;4;0;2021-05-11T12:31:50.665Z;2021-05-11T12:31:41.384Z;2021-05-11T12:31:50.815Z;0.15000000000000002;15; direct;11
62358;2;1;9;2;2021-05-11T12:37:39.136Z;2021-05-11T12:37:29.844Z;2021-05-11T12:37:40.042Z;0.906;21; direct;5
63361;2;1;10;1;2021-05-11T12:38:38.130Z;2021-05-11T12:38:29.801Z;2021-05-11T12:38:39.460Z;1.33;21; direct;1
63903;2;1;10;3;2021-05-11T12:39:08.504Z;2021-05-11T12:38:57.943Z;2021-05-11T12:39:09.098Z;0.5940000000000001;21; direct;20
64186;2;1;10;4;2021-05-11T12:39:22.646Z;2021-05-11T12:39:12.106Z;2021-05-11T12:39:22.916Z;0.27;21; direct;5
72031;2;1;16;0;2021-05-11T12:47:44.517Z;2021-05-11T12:47:10.194Z;2021-05-11T12:47:44.522Z;0.005;18; direct;1
73453;2;1;17;0;2021-05-11T12:48:54.386Z;2021-05-11T12:48:46.442Z;2021-05-11T12:48:54.397Z;0.011000000000000001;18; direct;17
73671;2;1;17;1;2021-05-11T12:49:10.021Z;2021-05-11T12:49:03.338Z;2021-05-11T12:49:11.484Z;1.463;18; direct;5
75016;2;1;18;3;2021-05-11T12:50:41.819Z;2021-05-11T12:50:36.558Z;2021-05-11T12:50:42.473Z;0.654;6; direct;5
75683;2;2;1;2;2021-05-11T13:03:53.828Z;2021-05-11T13:03:50.526Z;2021-05-11T13:03:53.878Z;0.05;6; widening;4
75816;2;2;1;3;2021-05-11T13:04:01.878Z;2021-05-11T13:03:57.395Z;2021-05-11T13:04:02.332Z;0.454;6; widening;5
77702;2;2;3;1;2021-05-11T13:06:07.442Z;2021-05-11T13:06:02.481Z;2021-05-11T13:06:07.456Z;0.014;15; widening;11
81642;2;2;5;4;2021-05-11T13:09:36.508Z;2021-05-11T13:09:29.571Z;2021-05-11T13:09:37.694Z;1.1860000000000002;12; widening;1
83932;2;2;7;4;2021-05-11T13:12:09.870Z;2021-05-11T13:12:02.804Z;2021-05-11T13:12:10.470Z;0.6000000000000001;18; widening;5
86133;2;2;9;2;2021-05-11T13:14:06.998Z;2021-05-11T13:13:58.375Z;2021-05-11T13:14:07.071Z;0.07300000000000001;21; widening;1
86616;2;2;9;4;2021-05-11T13:14:32.076Z;2021-05-11T13:14:24.227Z;2021-05-11T13:14:32.154Z;0.078;21; widening;20
86903;2;2;10;1;2021-05-11T13:14:48.587Z;2021-05-11T13:14:44.479Z;2021-05-11T13:14:48.759Z;0.17200000000000001;9; widening;8
