;Proband__;Trial__;Duration_ densening_6;Duration_ densening_9;Duration_ densening_12;Duration_ densening_15;Duration_ densening_18;Duration_ densening_21;Duration_ direct_6;Duration_ direct_9;Duration_ direct_12;Duration_ direct_15;Duration_ direct_18;Duration_ direct_21;Duration_ widening_6;Duration_ widening_9;Duration_ widening_12;Duration_ widening_15;Duration_ widening_18;Duration_ widening_21
72;15;2;8.255666666666666;7.415666666666667;9.358333333333334;11.480333333333334;9.568;9.182;6.034;6.830666666666666;8.987333333333334;9.784666666666666;10.050666666666666;36.09766666666667;5.080333333333333;7.163;6.820666666666667;9.896666666666667;13.432;14.587333333333333
73;15;3;6.548333333333333;10.293999999999999;5.858999999999999;9.829333333333333;11.357;11.454;5.619;7.701666666666667;9.172333333333333;11.722999999999999;9.525;9.996333333333334;7.753333333333334;10.031999999999998;11.186;15.931666666666667;8.755333333333333;9.26
74;15;4;5.995333333333334;7.034;10.878333333333332;7.761333333333333;12.409666666666666;13.071666666666667;6.019000000000001;9.049333333333333;8.738999999999999;14.323;8.735;11.833;8.140666666666666;7.512666666666668;7.5729999999999995;9.248666666666667;9.156333333333334;9.671000000000001
75;16;0;5.778333333333333;9.323666666666666;7.207000000000001;8.455333333333334;7.726666666666667;8.943666666666667;5.897333333333333;8.243666666666668;10.190666666666667;80.92966666666666;8.318;16.233999999999998;6.044666666666667;6.641333333333333;8.975666666666667;13.766666666666666;6.864666666666666;24.929999999999996
76;16;1;5.727666666666667;8.653333333333334;4.731333333333333;9.241999999999999;9.592;7.148333333333333;10.701333333333332;8.599666666666666;8.184;8.59;13.94;24.586333333333332;5.604333333333333;6.5776666666666666;13.832666666666666;26.23266666666667;13.848666666666665;14.593000000000002
77;16;2;3.8556666666666666;7.46;11.645666666666665;10.170333333333334;12.270000000000001;10.665666666666667;5.6739999999999995;6.239333333333334;8.855;10.850333333333333;8.941333333333333;9.487666666666668;6.3933333333333335;8.120333333333333;7.354333333333333;8.714;8.334666666666665;25.595333333333333
78;16;3;6.163;8.525999999999998;6.93;11.145666666666665;12.780666666666669;5.812666666666666;5.418666666666667;6.6723333333333334;13.975;10.140333333333333;11.245666666666667;12.571;5.148333333333333;6.994;8.948333333333332;6.219333333333334;20.796666666666667;8.812666666666667
79;16;4;7.8373333333333335;5.280333333333334;7.909666666666666;9.406;11.197666666666668;13.584333333333333;4.724;7.689;11.613333333333335;17.83066666666667;16.697;9.578000000000001;7.077999999999999;6.816;13.611666666666665;12.772333333333334;10.630333333333335;20.147666666666666
80;17;0;6.1546666666666665;8.581999999999999;6.525333333333333;8.421999999999999;8.663;10.001666666666667;5.553999999999999;6.284666666666666;6.169666666666667;7.565333333333332;7.570333333333333;6.314333333333334;6.908;8.894333333333334;7.438;7.726333333333334;7.516333333333333;8.551333333333334
81;17;1;5.18;5.339333333333333;6.5760000000000005;8.452333333333334;6.770666666666667;7.058666666666667;6.361999999999999;5.628;6.241;6.7620000000000005;8.657333333333334;6.5569999999999995;18.317000000000004;8.342;6.728666666666666;6.213666666666666;6.075666666666667;5.901666666666666
82;17;2;5.889;6.288666666666667;8.029;6.460333333333334;7.144333333333333;5.561666666666667;5.260333333333333;5.864333333333334;8.797666666666666;8.092333333333334;6.257666666666666;7.048333333333333;5.976666666666667;6.373666666666666;6.803;8.036;5.82;10.630333333333333
83;17;3;6.3676666666666675;6.685333333333333;7.261;6.066;8.852666666666666;8.249333333333333;4.650333333333333;5.866666666666667;6.095666666666666;11.86;8.316666666666666;7.928;5.202333333333333;8.065666666666667;6.428333333333334;11.190333333333333;6.2636666666666665;15.154333333333334
84;17;4;7.129666666666668;4.8566666666666665;5.7956666666666665;8.502333333333333;6.098;9.070666666666666;5.580666666666667;6.658;7.1819999999999995;7.204000000000001;6.527333333333334;8.613666666666667;6.0;11.777000000000001;6.476;8.524666666666667;7.648;6.548333333333333
85;18;0;6.639333333333333;6.19;7.083666666666667;11.636333333333333;17.37;10.362333333333334;6.263333333333333;6.634;6.9959999999999996;7.614666666666667;7.7923333333333344;7.120666666666668;5.9013333333333335;6.982333333333333;7.297333333333334;6.906333333333333;10.628666666666666;10.216666666666667
