;;;;;Duration;Duration;Duration;Duration;Duration;Target;Target;Target;Target;Target;Target_Relative;Target_Relative;Target_Relative;Target_Relative;Target_Relative;Duration_Sum
Trial;;;;;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;;;;;;;
02;3;5; densening;12;5.771;7.323;12.098;7.665;7.83;1.0;3.0;11.0;6.0;9.0;0.08333333333333333;0.25;0.9166666666666666;0.5;0.75;40.687
02;3;6; densening;15;8.55;7.808;7.3;7.199;5.903;4.0;11.0;8.0;14.0;1.0;0.26666666666666666;0.7333333333333333;0.5333333333333333;0.9333333333333333;0.06666666666666667;36.76
02;3;7; densening;6;7.465;5.624;5.318;5.097;5.232;5.0;2.0;4.0;3.0;1.0;0.8333333333333334;0.3333333333333333;0.6666666666666666;0.5;0.16666666666666666;28.735999999999997
02;3;8; densening;21;5.272;10.107;9.617;9.34;9.774;1.0;11.0;5.0;20.0;16.0;0.047619047619047616;0.5238095238095238;0.23809523809523808;0.9523809523809523;0.7619047619047619;44.11
02;3;9; densening;21;7.504;8.305;18.338;6.171;8.705;16.0;5.0;20.0;1.0;11.0;0.7619047619047619;0.23809523809523808;0.9523809523809523;0.047619047619047616;0.5238095238095238;49.022999999999996
02;3;10; densening;9;7.717;6.568;4.249;6.492;6.238;8.0;5.0;7.0;2.0;1.0;0.8888888888888888;0.5555555555555556;0.7777777777777778;0.2222222222222222;0.1111111111111111;31.264
02;3;11; densening;6;5.569;6.134;6.313;7.642;7.044;4.0;2.0;1.0;5.0;3.0;0.6666666666666666;0.3333333333333333;0.16666666666666666;0.8333333333333334;0.5;32.702
02;3;12; densening;18;9.22;7.459;9.968;8.997;8.081;5.0;1.0;17.0;14.0;9.0;0.2777777777777778;0.05555555555555555;0.9444444444444444;0.7777777777777778;0.5;43.72500000000001
02;3;13; densening;18;49.157;6.973;8.85;18.432;8.928;9.0;1.0;5.0;14.0;17.0;0.5;0.05555555555555555;0.2777777777777778;0.7777777777777778;0.9444444444444444;92.33999999999999
02;3;14; densening;21;8.822;56.43;10.29;7.572;13.49;5.0;16.0;1.0;11.0;20.0;0.23809523809523808;0.7619047619047619;0.047619047619047616;0.5238095238095238;0.9523809523809523;96.604
02;3;15; densening;9;6.077;7.045;6.58;16.261;17.634;2.0;7.0;1.0;8.0;5.0;0.2222222222222222;0.7777777777777778;0.1111111111111111;0.8888888888888888;0.5555555555555556;53.596999999999994
02;3;16; densening;18;11.854;7.873;7.624;8.247;11.333;17.0;14.0;5.0;9.0;1.0;0.9444444444444444;0.7777777777777778;0.2777777777777778;0.5;0.05555555555555555;46.931
02;3;17; densening;12;6.804;7.13;5.858;7.798;7.045;6.0;9.0;1.0;11.0;3.0;0.5;0.75;0.08333333333333333;0.9166666666666666;0.25;34.635000000000005
02;3;18; densening;15;8.939;8.688;41.144;11.491;19.082;14.0;4.0;1.0;11.0;8.0;0.9333333333333333;0.26666666666666666;0.06666666666666667;0.7333333333333333;0.5333333333333333;89.344
03;1;1; direct;6;28.75;5.876;5.77;4.907;8.404;5.0;4.0;1.0;3.0;2.0;0.8333333333333334;0.6666666666666666;0.16666666666666666;0.5;0.3333333333333333;53.706999999999994
03;1;2; direct;15;6.752;3.033;9.404;9.768;5.728;11.0;4.0;8.0;14.0;1.0;0.7333333333333333;0.26666666666666666;0.5333333333333333;0.9333333333333333;0.06666666666666667;34.685
03;1;3; direct;15;6.891;14.366;9.441;7.011;8.472;4.0;11.0;1.0;14.0;8.0;0.26666666666666666;0.7333333333333333;0.06666666666666667;0.9333333333333333;0.5333333333333333;46.181000000000004
03;1;4; direct;6;5.172;3.753;4.741;2.304;3.464;5.0;4.0;1.0;3.0;2.0;0.8333333333333334;0.6666666666666666;0.16666666666666666;0.5;0.3333333333333333;19.434
03;1;5; direct;9;4.845;6.208;5.018;5.167;3.6;2.0;7.0;8.0;1.0;5.0;0.2222222222222222;0.7777777777777778;0.8888888888888888;0.1111111111111111;0.5555555555555556;24.838
03;1;6; direct;15;5.364;5.077;13.623;10.63;15.887;14.0;8.0;1.0;4.0;11.0;0.9333333333333333;0.5333333333333333;0.06666666666666667;0.26666666666666666;0.7333333333333333;50.581
03;1;7; direct;6;5.556;3.569;1.539;3.282;5.0;1.0;2.0;4.0;3.0;5.0;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.5;0.8333333333333334;18.945999999999998
03;1;8; direct;21;8.905;10.719;11.929;12.801;4.438;11.0;20.0;5.0;16.0;1.0;0.5238095238095238;0.9523809523809523;0.23809523809523808;0.7619047619047619;0.047619047619047616;48.792
03;1;9; direct;9;7.366;15.059;6.72;3.367;3.448;7.0;1.0;2.0;8.0;5.0;0.7777777777777778;0.1111111111111111;0.2222222222222222;0.8888888888888888;0.5555555555555556;35.959999999999994
