;;;;;Result;Result;Result;Result;Result;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_between;Peaks_between;Peaks_between;Peaks_between;Peaks_between;TargetLayer;TargetLayer;TargetLayer;TargetLayer;TargetLayer;rate_before;rate_after;rate_lower;rate_deeper;rate_between;rate_sum
Trial;;;;;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;;;;;;
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;6; widening;9; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;2;0;1;4;0;2;0;1;4;0;0;0;0;0;0;1;0;1;3;0;1;0;0;0;0;0;0;0;1;1;2;8;7;5;1.4;0.0;1.0;0.2;0.2;1.4
1;3;7; widening;12; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;2;1;2;2;3;2;1;2;2;3;0;0;0;0;0;2;1;1;2;2;0;0;0;0;1;0;0;1;0;0;6;11;1;9;3;2.0;0.0;1.6;0.2;0.2;2.0
1;3;8; widening;21; COMPLETED; FAILED; COMPLETED; TERMINATED; TERMINATED;1;3;0;3;3;1;3;0;3;3;0;0;0;0;0;1;1;0;1;3;0;2;0;2;0;0;0;0;0;0;5;1;20;11;16;2.0;0.0;1.2;0.8;0.0;2.0
1;3;9; widening;12; TERMINATED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;4;1;1;2;1;4;1;1;2;0;0;0;0;0;1;4;1;1;2;0;0;0;0;0;0;0;0;0;0;3;9;1;11;6;1.8;0.0;1.8;0.0;0.0;1.8
1;3;10; widening;6; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;1;1;2;0;0;1;1;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;5;4;1;2;3;0.8;0.0;0.6;0.0;0.2;0.8
1;3;11; widening;15; TERMINATED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;0;2;1;1;1;0;2;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;8;14;1;4;11;1.0;0.0;0.8;0.0;0.2;1.0
1;3;12; widening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; FAILED;1;4;4;2;3;1;4;4;2;3;0;0;0;0;0;1;3;4;2;1;0;1;0;0;2;0;0;0;0;0;8;4;14;11;1;2.8;0.0;2.2;0.6;0.0;2.8
1;3;13; widening;18; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;2;1;1;2;1;2;1;1;2;0;0;0;0;0;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;5;14;1;17;9;1.4;0.0;1.4;0.0;0.0;1.4
1;3;14; widening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;0;2;2;1;1;0;2;2;1;0;0;0;0;0;1;0;1;2;1;0;0;1;0;0;0;0;0;0;0;14;17;5;9;1;1.2;0.0;1.0;0.2;0.0;1.2
1;3;15; widening;6; TERMINATED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;4;5;3;0.8;0.0;0.8;0.0;0.0;0.8
