;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Result;Result_Numeric
185;0;3;2;0; widening;21;11;0.5238095238095238; COMPLETED;1
186;0;3;2;1; widening;21;1;0.047619047619047616; TERMINATED;0
187;0;3;2;2; widening;21;20;0.9523809523809523; COMPLETED;1
188;0;3;2;3; widening;21;16;0.7619047619047619; COMPLETED;1
189;0;3;2;4; widening;21;5;0.23809523809523808; TERMINATED;0
190;0;3;3;0; widening;9;8;0.8888888888888888; COMPLETED;1
191;0;3;3;1; widening;9;7;0.7777777777777778; COMPLETED;1
192;0;3;3;2; widening;9;5;0.5555555555555556; TERMINATED;0
193;0;3;3;3; widening;9;2;0.2222222222222222; TERMINATED;0
194;0;3;3;4; widening;9;1;0.1111111111111111; TERMINATED;0
195;0;3;4;0; widening;21;5;0.23809523809523808; TERMINATED;0
196;0;3;4;1; widening;21;11;0.5238095238095238; TERMINATED;0
197;0;3;4;2; widening;21;20;0.9523809523809523; COMPLETED;1
198;0;3;4;3; widening;21;1;0.047619047619047616; FAILED;0
199;0;3;4;4; widening;21;16;0.7619047619047619; COMPLETED;1
200;0;3;5;0; widening;12;3;0.25; TERMINATED;0
201;0;3;5;1; widening;12;9;0.75; COMPLETED;1
202;0;3;5;2; widening;12;1;0.08333333333333333; FAILED;0
203;0;3;5;3; widening;12;11;0.9166666666666666; COMPLETED;1
204;0;3;5;4; widening;12;6;0.5; COMPLETED;1
205;0;3;6;0; widening;9;1;0.1111111111111111; TERMINATED;0
206;0;3;6;1; widening;9;2;0.2222222222222222; COMPLETED;1
207;0;3;6;2; widening;9;8;0.8888888888888888; COMPLETED;1
208;0;3;6;3; widening;9;7;0.7777777777777778; COMPLETED;1
209;0;3;6;4; widening;9;5;0.5555555555555556; COMPLETED;1
210;0;3;7;0; widening;12;6;0.5; COMPLETED;1
211;0;3;7;1; widening;12;11;0.9166666666666666; COMPLETED;1
212;0;3;7;2; widening;12;1;0.08333333333333333; TERMINATED;0
213;0;3;7;3; widening;12;9;0.75; COMPLETED;1
214;0;3;7;4; widening;12;3;0.25; TERMINATED;0
215;0;3;8;0; widening;21;5;0.23809523809523808; COMPLETED;1
216;0;3;8;1; widening;21;1;0.047619047619047616; FAILED;0
217;0;3;8;2; widening;21;20;0.9523809523809523; COMPLETED;1
218;0;3;8;3; widening;21;11;0.5238095238095238; TERMINATED;0
219;0;3;8;4; widening;21;16;0.7619047619047619; TERMINATED;0
220;0;3;9;0; widening;12;3;0.25; TERMINATED;0
221;0;3;9;1; widening;12;9;0.75; COMPLETED;1
222;0;3;9;2; widening;12;1;0.08333333333333333; TERMINATED;0
