;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Duration
277;1;1;2;2; widening;18;9;0.5;9.997
278;1;1;2;3; widening;18;14;0.7777777777777778;7.354
279;1;1;2;4; widening;18;5;0.2777777777777778;6.376
280;1;1;3;0; widening;6;2;0.3333333333333333;24.45
281;1;1;3;1; widening;6;1;0.16666666666666666;5.265
282;1;1;3;2; widening;6;4;0.6666666666666666;4.327
283;1;1;3;3; widening;6;3;0.5;5.856
284;1;1;3;4; widening;6;5;0.8333333333333334;4.318
285;1;1;4;0; widening;9;2;0.2222222222222222;7.671
286;1;1;4;1; widening;9;7;0.7777777777777778;7.023
287;1;1;4;2; widening;9;8;0.8888888888888888;5.112
288;1;1;4;3; widening;9;5;0.5555555555555556;4.277
289;1;1;4;4; widening;9;1;0.1111111111111111;5.058
290;1;1;5;0; widening;21;20;0.9523809523809523;16.967
291;1;1;5;1; widening;21;11;0.5238095238095238;7.805
292;1;1;5;2; widening;21;5;0.23809523809523808;6.658
293;1;1;5;3; widening;21;16;0.7619047619047619;10.549
294;1;1;5;4; widening;21;1;0.047619047619047616;12.489
295;1;1;6;0; widening;21;11;0.5238095238095238;15.381
296;1;1;6;1; widening;21;16;0.7619047619047619;8.136
297;1;1;6;2; widening;21;20;0.9523809523809523;7.594
298;1;1;6;3; widening;21;5;0.23809523809523808;7.364
299;1;1;6;4; widening;21;1;0.047619047619047616;19.305
300;1;1;7;0; widening;12;6;0.5;14.671
301;1;1;7;1; widening;12;11;0.9166666666666666;6.255
302;1;1;7;2; widening;12;9;0.75;4.252
303;1;1;7;3; widening;12;3;0.25;6.471
304;1;1;7;4; widening;12;1;0.08333333333333333;5.861
305;1;1;8;0; widening;15;8;0.5333333333333333;9.475
306;1;1;8;1; widening;15;11;0.7333333333333333;6.171
307;1;1;8;2; widening;15;14;0.9333333333333333;8.433
308;1;1;8;3; widening;15;1;0.06666666666666667;13.76
309;1;1;8;4; widening;15;4;0.26666666666666666;7.83
310;1;1;9;0; widening;6;1;0.16666666666666666;11.635
311;1;1;9;1; widening;6;3;0.5;4.521
312;1;1;9;2; widening;6;5;0.8333333333333334;8.014
313;1;1;9;3; widening;6;2;0.3333333333333333;4.727
314;1;1;9;4; widening;6;4;0.6666666666666666;6.179
315;1;1;10;0; widening;18;5;0.2777777777777778;9.24
316;1;1;10;1; widening;18;17;0.9444444444444444;12.341
317;1;1;10;2; widening;18;1;0.05555555555555555;9.313
318;1;1;10;3; widening;18;9;0.5;10.629
319;1;1;10;4; widening;18;14;0.7777777777777778;8.708
320;1;1;11;0; widening;9;5;0.5555555555555556;11.407
321;1;1;11;1; widening;9;2;0.2222222222222222;6.941
322;1;1;11;2; widening;9;8;0.8888888888888888;4.842
323;1;1;11;3; widening;9;7;0.7777777777777778;5.024
324;1;1;11;4; widening;9;1;0.1111111111111111;4.485
325;1;1;12;0; widening;12;9;0.75;7.309
326;1;1;12;1; widening;12;1;0.08333333333333333;9.199
327;1;1;12;2; widening;12;11;0.9166666666666666;16.423
328;1;1;12;3; widening;12;3;0.25;9.007
329;1;1;12;4; widening;12;6;0.5;8.756
330;1;1;13;0; widening;9;5;0.5555555555555556;6.653
331;1;1;13;1; widening;9;1;0.1111111111111111;4.306
332;1;1;13;2; widening;9;2;0.2222222222222222;6.797
333;1;1;13;3; widening;9;8;0.8888888888888888;5.559
334;1;1;13;4; widening;9;7;0.7777777777777778;4.938
335;1;1;14;0; widening;12;11;0.9166666666666666;12.647
336;1;1;14;1; widening;12;6;0.5;8.905
337;1;1;14;2; widening;12;1;0.08333333333333333;4.904
338;1;1;14;3; widening;12;9;0.75;8.681
339;1;1;14;4; widening;12;3;0.25;6.689
340;1;1;15;0; widening;15;11;0.7333333333333333;14.144
341;1;1;15;1; widening;15;14;0.9333333333333333;7.703
342;1;1;15;2; widening;15;8;0.5333333333333333;5.755
343;1;1;15;3; widening;15;4;0.26666666666666666;4.076
344;1;1;15;4; widening;15;1;0.06666666666666667;5.729
345;1;1;16;0; widening;18;14;0.7777777777777778;21.496
346;1;1;16;1; widening;18;9;0.5;6.191
347;1;1;16;2; widening;18;1;0.05555555555555555;5.633
348;1;1;16;3; widening;18;5;0.2777777777777778;6.9
349;1;1;16;4; widening;18;17;0.9444444444444444;10.636
350;1;1;17;0; widening;15;1;0.06666666666666667;10.892
351;1;1;17;1; widening;15;8;0.5333333333333333;9.857
352;1;1;17;2; widening;15;4;0.26666666666666666;3.603
353;1;1;17;3; widening;15;14;0.9333333333333333;11.95
354;1;1;17;4; widening;15;11;0.7333333333333333;6.225
355;1;1;18;0; widening;6;3;0.5;6.815
356;1;1;18;1; widening;6;1;0.16666666666666666;4.981
