;Proband;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
89;15;21;40;0.8888888888888888;3;0.06666666666666667;2;0.044444444444444446;45;0.9999999999999999
90;16;6;31;0.6888888888888889;2;0.044444444444444446;12;0.26666666666666666;45;1.0
91;16;9;23;0.5111111111111111;0;0.0;22;0.4888888888888889;45;1.0
92;16;12;19;0.4222222222222222;0;0.0;26;0.5777777777777777;45;1.0
93;16;15;21;0.4666666666666667;2;0.044444444444444446;22;0.4888888888888889;45;1.0
94;16;18;21;0.4666666666666667;1;0.022222222222222223;23;0.5111111111111111;45;1.0
95;16;21;18;0.4;1;0.022222222222222223;26;0.5777777777777777;45;1.0
96;17;6;37;0.8222222222222222;1;0.022222222222222223;7;0.15555555555555556;45;1.0
97;17;9;37;0.8222222222222222;3;0.06666666666666667;5;0.1111111111111111;45;1.0
98;17;12;29;0.6444444444444445;4;0.08888888888888889;12;0.26666666666666666;45;1.0
99;17;15;30;0.6666666666666666;4;0.08888888888888889;11;0.24444444444444444;45;1.0
100;17;18;30;0.6666666666666666;2;0.044444444444444446;13;0.28888888888888886;45;0.9999999999999999
101;17;21;28;0.6222222222222222;8;0.17777777777777778;9;0.2;45;1.0
102;18;6;33;0.7333333333333333;0;0.0;12;0.26666666666666666;45;1.0
103;18;9;43;0.9555555555555556;0;0.0;2;0.044444444444444446;45;1.0
104;18;12;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
105;18;15;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
106;18;18;35;0.7777777777777778;2;0.044444444444444446;8;0.17777777777777778;45;1.0
107;18;21;36;0.8;0;0.0;9;0.2;45;1.0
108;19;6;32;0.7111111111111111;1;0.022222222222222223;12;0.26666666666666666;45;1.0
109;19;9;37;0.8222222222222222;0;0.0;8;0.17777777777777778;45;1.0
110;19;12;36;0.8;0;0.0;9;0.2;45;1.0
111;19;15;36;0.8;0;0.0;9;0.2;45;1.0
112;19;18;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
113;19;21;34;0.7555555555555555;1;0.022222222222222223;10;0.2222222222222222;45;1.0
114;20;6;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
115;20;9;41;0.9111111111111111;0;0.0;4;0.08888888888888889;45;1.0
116;20;12;38;0.8444444444444444;0;0.0;7;0.15555555555555556;45;1.0
117;20;15;31;0.6888888888888889;0;0.0;14;0.3111111111111111;45;1.0
118;20;18;37;0.8222222222222222;0;0.0;8;0.17777777777777778;45;1.0
