;;;;;Result;Result;Result;Result;Result;Result_Numeric;Result_Numeric;Result_Numeric;Result_Numeric;Result_Numeric
Trial;;;;;0;1;2;3;4;0;1;2;3;4
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;
03;1;15; direct;12; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
03;1;16; direct;9; TERMINATED; TERMINATED; FAILED; COMPLETED; COMPLETED;0;0;0;1;1
03;1;17; direct;18; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;1;1;0;0;0
03;1;18; direct;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
03;2;1; densening;12; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
03;2;2; densening;21; TERMINATED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;0;0;0;0;1
03;2;3; densening;12; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
03;2;4; densening;18; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
03;2;5; densening;9; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;0;1;0
03;2;6; densening;21; TERMINATED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;0;1;0;1;0
03;2;7; densening;9; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1
03;2;8; densening;18; TERMINATED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;0;1;1;0;1
03;2;9; densening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
03;2;10; densening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
03;2;11; densening;6; TERMINATED; FAILED; TERMINATED; TERMINATED; COMPLETED;0;0;0;0;1
03;2;12; densening;12; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;0;1;0
03;2;13; densening;9; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1
03;2;14; densening;21; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;0;1;0
03;2;15; densening;15; COMPLETED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;1;0;1;1;0
03;2;16; densening;6; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1
03;2;17; densening;18; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;0;1;0;1
03;2;18; densening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
03;3;1; widening;6; COMPLETED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;1;0;0;0;1
03;3;2; widening;18; TERMINATED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;0;0;0;0;1
03;3;3; widening;6; TERMINATED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;0;0;1;0;0
03;3;4; widening;9; COMPLETED; COMPLETED; TERMINATED; TERMINATED; FAILED;1;1;0;0;0
03;3;5; widening;15; COMPLETED; FAILED; TERMINATED; TERMINATED; COMPLETED;1;0;0;0;1
03;3;6; widening;9; TERMINATED; TERMINATED; TERMINATED; COMPLETED; COMPLETED;0;0;0;1;1
03;3;7; widening;12; COMPLETED; TERMINATED; TERMINATED; COMPLETED; TERMINATED;1;0;0;1;0
03;3;8; widening;15; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;1;0;1
03;3;9; widening;9; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;1;0;1
03;3;10; widening;12; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
03;3;11; widening;21; COMPLETED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;1;0;1;1;0
03;3;12; widening;21; TERMINATED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;0;1;1;1;0
03;3;13; widening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
03;3;14; widening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
03;3;15; widening;18; FAILED; TERMINATED; TERMINATED; COMPLETED; COMPLETED;0;0;0;1;1
03;3;16; widening;15; TERMINATED; COMPLETED; FAILED; COMPLETED; COMPLETED;0;1;0;1;1
03;3;17; widening;18; TERMINATED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;1;0;1;1
03;3;18; widening;21; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1
04;1;1; densening;15; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;0;1;0;1
04;1;2; densening;18; TERMINATED; TERMINATED; TERMINATED; TERMINATED; TERMINATED;0;0;0;0;0
04;1;3; densening;12; TERMINATED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;0;1;1;0
04;1;4; densening;21; TERMINATED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;0;1;1;0
04;1;5; densening;15; COMPLETED; TERMINATED; TERMINATED; COMPLETED; TERMINATED;1;0;0;1;0
04;1;6; densening;12; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1
04;1;7; densening;12; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;0;1;0
04;1;8; densening;21; TERMINATED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;0;1;0;0;0
04;1;9; densening;21; TERMINATED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;0;0;1;1;1
04;1;10; densening;9; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;1;0;1
04;1;11; densening;6; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
04;1;12; densening;9; TERMINATED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;0;1;1;0;0
04;1;13; densening;18; TERMINATED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;0;1;0;0;0
04;1;14; densening;15; TERMINATED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;0;1;0;0;1
04;1;15; densening;18; COMPLETED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;1;0;0;0;1
04;1;16; densening;6; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
04;1;17; densening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
04;1;18; densening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
04;2;1; direct;18; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
04;2;2; direct;6; COMPLETED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;1;0;0;0;1
04;2;3; direct;21; TERMINATED; TERMINATED; TERMINATED; COMPLETED; COMPLETED;0;0;0;1;1
04;2;4; direct;21; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
04;2;5; direct;9; TERMINATED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;0;1;1;0;1
04;2;6; direct;9; COMPLETED; TERMINATED; TERMINATED; COMPLETED; COMPLETED;1;0;0;1;1
04;2;7; direct;9; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
04;2;8; direct;12; TERMINATED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;0;1;0;1;0
04;2;9; direct;15; TERMINATED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;0;0;1;0;0
04;2;10; direct;6; COMPLETED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;1;0;1;1;0
04;2;11; direct;15; TERMINATED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;0;1;1;0;0
04;2;12; direct;12; COMPLETED; TERMINATED; TERMINATED; COMPLETED; TERMINATED;1;0;0;1;0
04;2;13; direct;18; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;0;1;0;1
04;2;14; direct;21; TERMINATED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;0;1;0;0;0
04;2;15; direct;15; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;1;1;0;0;0
04;2;16; direct;6; TERMINATED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;1;0;1;1
04;2;17; direct;12; TERMINATED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;0;0;0;0;1
04;2;18; direct;18; TERMINATED; TERMINATED; TERMINATED; TERMINATED; TERMINATED;0;0;0;0;0
04;3;1; widening;18; COMPLETED; TERMINATED; TERMINATED; TERMINATED; TERMINATED;1;0;0;0;0
04;3;2; widening;9; COMPLETED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;1;0;0;0;1
04;3;3; widening;12; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;1;1;0;0;0
04;3;4; widening;21; TERMINATED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;0;1;0;0;1
04;3;5; widening;9; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
04;3;6; widening;21; COMPLETED; TERMINATED; TERMINATED; TERMINATED; TERMINATED;1;0;0;0;0
04;3;7; widening;6; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
04;3;8; widening;15; TERMINATED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;0;0;1;0;0
04;3;9; widening;18; COMPLETED; TERMINATED; TERMINATED; TERMINATED; TERMINATED;1;0;0;0;0
04;3;10; widening;6; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;1;1;0;0;0
04;3;11; widening;15; TERMINATED; TERMINATED; TERMINATED; COMPLETED; TERMINATED;0;0;0;1;0
04;3;12; widening;15; TERMINATED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;0;0;0;0;1
04;3;13; widening;9; TERMINATED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;0;1;1;0;1
04;3;14; widening;21; TERMINATED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;0;0;0;0;1
04;3;15; widening;18; TERMINATED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;0;0;1;0;0
04;3;16; widening;12; COMPLETED; TERMINATED; TERMINATED; TERMINATED; TERMINATED;1;0;0;0;0
04;3;17; widening;6; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;0;1;0;1
04;3;18; widening;12; TERMINATED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;0;1;0;0;0
05;1;1; densening;15; COMPLETED; TERMINATED; TERMINATED; COMPLETED; COMPLETED;1;0;0;1;1
05;1;2; densening;21; TERMINATED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;0;1;1;0;1
05;1;3; densening;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
05;1;4; densening;15; COMPLETED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;1;0;1;1;1
05;1;5; densening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;1;6; densening;6; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
05;1;7; densening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;1;8; densening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
05;1;9; densening;18; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
05;1;10; densening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;1;11; densening;6; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
05;1;12; densening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
05;1;13; densening;15; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
05;1;14; densening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;1;15; densening;9; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;1;0;1
05;1;16; densening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;1;17; densening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;1;18; densening;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;2;1; widening;15; TERMINATED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;1;0;1;1
05;2;2; widening;9; COMPLETED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;1;1;1;0;0
05;2;3; widening;21; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
05;2;4; widening;15; COMPLETED; TERMINATED; COMPLETED; FAILED; COMPLETED;1;0;1;0;1
05;2;5; widening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;2;6; widening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
05;2;7; widening;12; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;0;1;0;1
05;2;8; widening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
