;Proband;MappingMethod;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
161;16; widening;9;10;0.6666666666666666;3;0.2;2;0.13333333333333333;15;1.0
162;17; densening;12;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
163;17; densening;15;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
164;17; densening;18;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
165;17; densening;21;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
166;17; densening;6;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
167;17; densening;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
168;17; direct;12;12;0.8;0;0.0;3;0.2;15;1.0
169;17; direct;15;15;1.0;0;0.0;0;0.0;15;1.0
170;17; direct;18;11;0.7333333333333333;1;0.06666666666666667;3;0.2;15;1.0
171;17; direct;21;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
172;17; direct;6;15;1.0;0;0.0;0;0.0;15;1.0
173;17; direct;9;15;1.0;0;0.0;0;0.0;15;1.0
174;17; widening;12;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
175;17; widening;15;12;0.8;0;0.0;3;0.2;15;1.0
176;17; widening;18;11;0.7333333333333333;1;0.06666666666666667;3;0.2;15;1.0
177;17; widening;21;12;0.8;0;0.0;3;0.2;15;1.0
178;17; widening;6;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
179;17; widening;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
180;18; densening;12;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
181;18; densening;15;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
182;18; densening;18;15;1.0;0;0.0;0;0.0;15;1.0
183;18; densening;21;12;0.8;0;0.0;3;0.2;15;1.0
184;18; densening;6;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
185;18; densening;9;15;1.0;0;0.0;0;0.0;15;1.0
186;18; direct;12;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
187;18; direct;15;12;0.8;0;0.0;3;0.2;15;1.0
188;18; direct;18;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
189;18; direct;21;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
190;18; direct;6;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
191;18; direct;9;12;0.8;0;0.0;3;0.2;15;1.0
192;18; widening;12;12;0.8;0;0.0;3;0.2;15;1.0
193;18; widening;15;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
194;18; widening;18;12;0.8;0;0.0;3;0.2;15;1.0
195;18; widening;21;9;0.6;1;0.06666666666666667;5;0.3333333333333333;15;1.0
196;18; widening;6;12;0.8;0;0.0;3;0.2;15;1.0
197;18; widening;9;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
198;19; densening;12;12;0.8;0;0.0;3;0.2;15;1.0
199;19; densening;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
200;19; densening;18;15;1.0;0;0.0;0;0.0;15;1.0
201;19; densening;21;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
202;19; densening;6;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
203;19; densening;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
204;19; direct;12;15;1.0;0;0.0;0;0.0;15;1.0
205;19; direct;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
206;19; direct;18;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
207;19; direct;21;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
208;19; direct;6;15;1.0;0;0.0;0;0.0;15;1.0
209;19; direct;9;15;1.0;0;0.0;0;0.0;15;1.0
210;19; widening;12;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
211;19; widening;15;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
212;19; widening;18;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
213;19; widening;21;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
214;19; widening;6;12;0.8;0;0.0;3;0.2;15;1.0
215;19; widening;9;12;0.8;0;0.0;3;0.2;15;1.0
216;2; densening;12;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
217;2; densening;15;12;0.8;0;0.0;3;0.2;15;1.0
218;2; densening;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
219;2; densening;21;6;0.4;0;0.0;9;0.6;15;1.0
220;2; densening;6;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
221;2; densening;9;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
222;2; direct;12;5;0.3333333333333333;0;0.0;10;0.6666666666666666;15;1.0
223;2; direct;15;6;0.4;0;0.0;9;0.6;15;1.0
224;2; direct;18;7;0.4666666666666667;1;0.06666666666666667;7;0.4666666666666667;15;1.0
225;2; direct;21;6;0.4;0;0.0;9;0.6;15;1.0
226;2; direct;6;5;0.3333333333333333;1;0.06666666666666667;9;0.6;15;1.0
227;2; direct;9;5;0.3333333333333333;1;0.06666666666666667;9;0.6;15;1.0
228;2; widening;12;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
229;2; widening;15;9;0.6;2;0.13333333333333333;4;0.26666666666666666;15;1.0
230;2; widening;18;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
231;2; widening;21;9;0.6;1;0.06666666666666667;5;0.3333333333333333;15;1.0
232;2; widening;6;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
233;2; widening;9;8;0.5333333333333333;1;0.06666666666666667;6;0.4;15;1.0
234;20; densening;12;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
235;20; densening;15;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
236;20; densening;18;12;0.8;0;0.0;3;0.2;15;1.0
237;20; densening;21;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
238;20; densening;6;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
239;20; densening;9;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
240;20; direct;12;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
241;20; direct;15;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
242;20; direct;18;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
243;20; direct;21;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
244;20; direct;6;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
245;20; direct;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
246;20; widening;12;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
247;20; widening;15;9;0.6;0;0.0;6;0.4;15;1.0
248;20; widening;18;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
249;20; widening;21;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
250;20; widening;6;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
251;20; widening;9;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
252;21; densening;12;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
253;21; densening;15;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
254;21; densening;18;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
255;21; densening;21;12;0.8;0;0.0;3;0.2;15;1.0
256;21; densening;6;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
257;21; densening;9;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
258;21; direct;12;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
259;21; direct;15;15;1.0;0;0.0;0;0.0;15;1.0
260;21; direct;18;12;0.8;0;0.0;3;0.2;15;1.0
261;21; direct;21;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
262;21; direct;6;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
263;21; direct;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
264;21; widening;12;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
265;21; widening;15;12;0.8;0;0.0;3;0.2;15;1.0
266;21; widening;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
267;21; widening;21;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
268;21; widening;6;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
269;21; widening;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
270;22; densening;12;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
271;22; densening;15;9;0.6;1;0.06666666666666667;5;0.3333333333333333;15;1.0
272;22; densening;18;10;0.6666666666666666;2;0.13333333333333333;3;0.2;15;1.0
273;22; densening;21;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
274;22; densening;6;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
275;22; densening;9;12;0.8;1;0.06666666666666667;2;0.13333333333333333;15;1.0
276;22; direct;12;9;0.6;1;0.06666666666666667;5;0.3333333333333333;15;1.0
277;22; direct;15;10;0.6666666666666666;3;0.2;2;0.13333333333333333;15;1.0
278;22; direct;18;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
279;22; direct;21;9;0.6;2;0.13333333333333333;4;0.26666666666666666;15;1.0
280;22; direct;6;12;0.8;0;0.0;3;0.2;15;1.0
281;22; direct;9;11;0.7333333333333333;1;0.06666666666666667;3;0.2;15;1.0
282;22; widening;12;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
283;22; widening;15;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
284;22; widening;18;7;0.4666666666666667;4;0.26666666666666666;4;0.26666666666666666;15;1.0
285;22; widening;21;8;0.5333333333333333;3;0.2;4;0.26666666666666666;15;1.0
286;22; widening;6;11;0.7333333333333333;1;0.06666666666666667;3;0.2;15;1.0
287;22; widening;9;8;0.5333333333333333;2;0.13333333333333333;5;0.3333333333333333;15;1.0
288;3; densening;12;9;0.6;0;0.0;6;0.4;15;1.0
289;3; densening;15;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
290;3; densening;18;3;0.2;0;0.0;12;0.8;15;1.0
291;3; densening;21;6;0.4;0;0.0;9;0.6;15;1.0
292;3; densening;6;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
293;3; densening;9;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
294;3; direct;12;5;0.3333333333333333;0;0.0;10;0.6666666666666666;15;1.0
295;3; direct;15;5;0.3333333333333333;0;0.0;10;0.6666666666666666;15;1.0
296;3; direct;18;6;0.4;0;0.0;9;0.6;15;1.0
297;3; direct;21;5;0.3333333333333333;0;0.0;10;0.6666666666666666;15;1.0
298;3; direct;6;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
299;3; direct;9;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
300;3; widening;12;4;0.26666666666666666;0;0.0;11;0.7333333333333333;15;1.0
301;3; widening;15;3;0.2;0;0.0;12;0.8;15;1.0
302;3; widening;18;3;0.2;0;0.0;12;0.8;15;1.0
303;3; widening;21;4;0.26666666666666666;0;0.0;11;0.7333333333333333;15;1.0
304;3; widening;6;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
305;3; widening;9;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
306;4; densening;12;15;1.0;0;0.0;0;0.0;15;1.0
307;4; densening;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
308;4; densening;18;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
309;4; densening;21;12;0.8;0;0.0;3;0.2;15;1.0
